,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Bilhaur,100.0,60.0,GEN,Uttar Pradesh [2000 Onwards],Raja Ram Pal,Bahujan Samaj Party,"13,69,589","6,41,369",46.8 %,"24,402",3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birbhum,101.0,42.0,GEN,West Bengal,Ram Chandra Dome,Communist Party Of India (MARXIST),"10,29,870","7,21,560",70.1 %,"1,91,612",26.6%,107.0,42.0,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1221893.0,1017879.0,83.3 %,61519.0,6.0%,107.0,42.0,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1495108.0,1275819.0,85.3 %,67263.0,5.3%,107.0,42.0,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"15,87,802","14,49,423",92.1 %,"88,924",6.1%,106.0,42.0,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"18,57,022","15,27,432",82.3 %,"1,97,650",12.9%
Bishnupur,,,,,,,,,,,,108.0,37.0,SC,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),1237948.0,1054282.0,85.2 %,129366.0,12.3%,108.0,37.0,SC,West Bengal,Khan Saumitra,All India Trinamool Congress,1466921.0,1272070.0,86.7 %,149685.0,11.8%,108.0,37.0,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,"17,40,964","14,20,648",82.4 %,"78,047",5.5%,107.0,37.0,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,"17,54,268","15,13,872",86.3 %,"5,567",0.4%
Bobbili,102.0,3.0,GEN,Andhra Pradesh,Kondapalli Pydithalli Naidu,Telugu Desam,"9,76,012","7,45,517",76.4 %,"31,348",4.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolangir,103.0,16.0,SC,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"10,99,775","7,28,372",66.2 %,"1,00,682",13.8%,109.0,10.0,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1443484.0,1011776.0,70.1 %,90835.0,9.0%,109.0,10.0,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1563025.0,1170405.0,74.9 %,104299.0,8.9%,109.0,10.0,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"16,77,774","13,06,705",78.8 %,"19,516",1.5%,108.0,10.0,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"18,01,744","14,00,248",77.7 %,"1,32,664",9.5%
Bolpur,104.0,41.0,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"10,35,012","7,67,695",74.2 %,"3,10,305",40.4%,110.0,41.0,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (MARXIST),1307730.0,1079122.0,82.5 %,126882.0,11.8%,110.0,41.0,SC,West Bengal,Anupam Hazra,All India Trinamool Congress,1538429.0,1304756.0,84.8 %,236112.0,18.1%,110.0,41.0,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,"18,64,137","14,61,269",79.1 %,"1,06,402",7.3%,109.0,41.0,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,"18,39,234","15,28,470",83.1 %,"3,27,253",21.4%
Broach,105.0,23.0,ST,Gujarat,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,"12,39,670","6,80,519",54.9 %,"72,202",10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budaun,106.0,6.0,GEN,Uttar Pradesh [2000 Onwards],Saleem Iqbal Shervani,Samajwadi Party,"12,00,435","5,90,006",49.2 %,"51,322",8.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulandshahr,107.0,74.0,SC,Uttar Pradesh [2000 Onwards],Kalyan Singh,Bharatiya Janta Party,"12,26,141","6,85,228",55.9 %,"16,651",2.4%,111.0,14.0,SC,Uttar Pradesh [2000 Onwards],Kamlesh,Samajwadi Party,1482749.0,668557.0,45.1 %,66065.0,9.9%,111.0,14.0,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1736447.0,1009710.0,58.2 %,421973.0,41.8%,111.0,14.0,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,"17,59,305","11,23,629",64.2 %,"2,90,057",25.8%,110.0,14.0,SC,Uttar Pradesh [2000 Onwards],Dr Bhola Singh,Bharatiya Janta Party,"18,59,462","10,54,399",56.7 %,"2,75,134",26.1%
Buldhana,108.0,18.0,GEN,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"11,96,627","7,60,202",63.5 %,"59,907",7.9%,112.0,5.0,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1382736.0,853885.0,61.8 %,28078.0,3.3%,112.0,5.0,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1596234.0,978626.0,61.3 %,159579.0,16.3%,112.0,5.0,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"19,77,994","11,20,359",57.0 %,"1,33,287",11.9%,111.0,5.0,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"17,82,700","11,09,496",62.2 %,"29,479",2.7%
Bulsar,109.0,26.0,ST,Gujarat,Kishanbhai Vestabhai Patel,Indian National Congress,"13,19,778","6,89,966",52.3 %,"44,486",6.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buxar,111.0,34.0,SC,Bihar [2000 Onwards],Lalmuni Chaubey,Bharatiya Janta Party,"12,22,441","6,49,116",53.1 %,"54,866",8.5%,114.0,33.0,GEN,Bihar [2000 Onwards],Jagada Nand Singh,Rashtriya Janata Dal,1340892.0,623629.0,46.5 %,2238.0,0.4%,114.0,33.0,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,1640567.0,888204.0,54.1 %,132338.0,14.9%,114.0,33.0,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,"18,06,004","9,86,861",55.6 %,"1,17,609",11.9%,113.0,33.0,GEN,Bihar [2000 Onwards],Sudhakar Singh,Rashtriya Janata Dal,"19,23,164","10,73,759",55.8 %,"30,091",2.8%
Calcutta North East,112.0,22.0,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),"8,03,853","5,67,774",70.6 %,"73,780",13.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcutta North West,113.0,21.0,GEN,West Bengal,Sudhangshu Seal,Communist Party Of India (MARXIST),"6,09,204","3,59,642",59.0 %,"43,004",12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcutta South,114.0,23.0,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,"10,96,709","7,70,828",70.3 %,"98,429",12.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calicut,115.0,4.0,GEN,Kerala,M. P. Veerendra Kumar,Janata Dal (Secular),"11,10,149","7,79,220",70.2 %,"65,326",8.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannanore,116.0,2.0,GEN,Kerala,A. P. Abdullakutty,Communist Party Of India (MARXIST),"10,88,892","8,58,386",78.8 %,"83,849",9.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chail,117.0,53.0,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,"14,84,115","5,55,332",37.4 %,630,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalakudy,,,,,,,,,,,,115.0,11.0,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,1075390.0,794306.0,73.9 %,71679.0,9.0%,115.0,11.0,GEN,Kerala,Innocent,Independent,1150491.0,884033.0,76.8 %,13884.0,1.6%,115.0,11.0,GEN,Kerala,Benny Behanan,Indian National Congress,"11,63,476","9,90,224",85.8 %,"1,32,274",13.4%,114.0,11.0,GEN,Kerala,Benny Behanan,Indian National Congress,"13,10,529","9,51,287",72.6 %,"63,754",6.7%
Chamarajanagar,118.0,15.0,GEN,Karnataka,M. Shivanna,Janata Dal (Secular),"11,89,973","8,52,745",71.7 %,"43,989",5.2%,116.0,22.0,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,1433825.0,973651.0,67.9 %,4002.0,0.4%,116.0,22.0,SC,Karnataka,R. Dhruvanarayana,Indian National Congress,1555779.0,1133029.0,72.8 %,141182.0,12.5%,116.0,22.0,SC,Karnataka,V. Srinivas Prasad,Bharatiya Janta Party,"16,69,209","12,70,658",76.9 %,"1,817",0.1%,115.0,22.0,SC,Karnataka,Sunil Bose,Indian National Congress,"17,78,310","13,69,797",77.0 %,"1,88,706",13.8%
Chandauli,119.0,47.0,GEN,Uttar Pradesh [2000 Onwards],Kailash Nath Singh Yadav,Bahujan Samaj Party,"15,80,853","7,04,386",44.6 %,"1,669",0.2%,117.0,76.0,GEN,Uttar Pradesh [2000 Onwards],Ramkishun,Samajwadi Party,1446259.0,670998.0,46.4 %,459.0,0.1%,117.0,76.0,GEN,Uttar Pradesh [2000 Onwards],Dr Mahendra Nath Pandey,Bharatiya Janta Party,1669140.0,980572.0,58.8 %,156756.0,16.0%,117.0,76.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahendra Nath Pandey,Bharatiya Janta Party,"16,96,059","10,84,961",64.6 %,"13,959",1.3%,116.0,76.0,GEN,Uttar Pradesh [2000 Onwards],Birendra Singh,Samajwadi Party,"18,43,196","11,16,499",60.6 %,"21,565",1.9%
Chandigarh,120.0,1.0,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,27,684","2,69,818",51.1 %,"45,248",16.8%,118.0,1.0,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,524444.0,343579.0,65.5 %,58967.0,17.2%,118.0,1.0,GEN,Chandigarh,Kher Kirron Anupam,Bharatiya Janta Party,615214.0,453455.0,73.7 %,69642.0,15.4%,118.0,1.0,GEN,Chandigarh,Kirron Kher,Bharatiya Janta Party,"6,15,214","4,56,568",74.9 %,"46,970",10.3%,117.0,1.0,GEN,Chandigarh,Manish Tewari,Indian National Congress,"6,59,805","4,49,275",68.1 %,"2,504",0.6%
Chandni Chowk,121.0,5.0,SC,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,"3,37,462","1,79,003",53.0 %,"79,415",44.4%,119.0,1.0,GEN,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,1413535.0,780507.0,55.2 %,200710.0,25.7%,119.0,1.0,GEN,Delhi [1977 Onwards],Dr. Harsh Vardhan,Bharatiya Janta Party,1447228.0,981863.0,67.8 %,136320.0,13.9%,119.0,1.0,GEN,Delhi [1977 Onwards],"Patni, Nitai Chand",Bharatiya Janta Party,"14,47,228","9,80,390",68.1 %,"2,28,145",23.3%,118.0,1.0,GEN,Delhi [1977 Onwards],Praveen Khandelwal,Bharatiya Janta Party,"16,45,958","9,66,102",58.7 %,"89,325",9.2%
Chandrapur,122.0,26.0,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,"13,29,746","8,40,271",63.2 %,"59,823",7.1%,120.0,13.0,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,1536352.0,898509.0,58.5 %,32495.0,3.6%,120.0,13.0,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,1753690.0,1109743.0,63.3 %,236269.0,21.3%,120.0,13.0,GEN,Maharashtra,Balubhau Alias Suresh Narayan Dhanorkar,Indian National Congress,"18,46,431","12,38,474",67.7 %,"44,763",3.6%,119.0,13.0,GEN,Maharashtra,Dhanorkar Pratibha Suresh Alias Balubhau,Indian National Congress,"18,37,906","12,41,304",67.5 %,"2,60,406",21.0%
Chapra,123.0,7.0,GEN,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,"11,64,917","4,46,031",38.3 %,"60,423",13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatra,124.0,4.0,GEN,Jharkhand,Dhirendra Agarwal,Rashtriya Janata Dal,"9,78,364","4,35,488",44.5 %,"18,855",4.3%,121.0,4.0,GEN,Jharkhand,Inder Singh Namdhari,Independent,1037665.0,473936.0,45.7 %,16178.0,3.4%,121.0,4.0,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1312545.0,712971.0,54.3 %,178026.0,25.0%,121.0,4.0,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,"13,75,612","9,25,937",67.9 %,"3,77,871",40.8%,120.0,4.0,GEN,Jharkhand,Kali Charan Singh,Bharatiya Janta Party,"16,89,926","10,86,374",64.3 %,"2,20,959",20.3%
Chelvella,,,,,,,,,,,,122.0,10.0,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,1681664.0,1084394.0,64.5 %,18532.0,1.7%,122.0,10.0,GEN,Telangana,Konda Vishweshwar Reddy,Telangana Rashtra Samithi,2185179.0,1315862.0,60.2 %,73023.0,5.5%,122.0,10.0,GEN,Telangana,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,"23,02,163","13,00,194",56.9 %,"14,317",1.1%,121.0,10.0,GEN,Telangana,Konda Vishweshwar Reddy,Bharatiya Janta Party,"29,38,370","16,75,354",57.0 %,"1,72,897",10.3%
Chengalpattu,125.0,5.0,GEN,Tamil Nadu,"Moorthy, A.K.",Pattali Makkal Katchi,"11,67,736","7,57,406",64.9 %,"1,48,724",19.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chennai Centra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,4.0,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,"13,16,388","7,85,450",60.7 %,"3,01,520",38.4%,122.0,4.0,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munnetra Kazhagam,"13,50,161","7,30,549",54.1 %,"2,44,689",33.5%
Chennai Central,,,,,,,,,,,,123.0,4.0,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1000705.0,610372.0,61.0 %,33454.0,5.5%,123.0,4.0,GEN,Tamil Nadu,S.R. Vijayakumar,All India Anna Dravida Munnetra Kazhagam,1328027.0,814894.0,61.4 %,45841.0,5.6%,,,,,,,,,,,,,,,,,,,,,,
Chennai North,,,,,,,,,,,,124.0,2.0,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,1016663.0,659927.0,64.9 %,19153.0,2.9%,124.0,2.0,GEN,Tamil Nadu,Venkatesh Babu .T.G,All India Anna Dravida Munnetra Kazhagam,1422386.0,910114.0,64.0 %,99704.0,11.0%,124.0,2.0,GEN,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munetra Kazhagam,"14,44,753","9,55,545",67.2 %,"4,61,518",48.3%,123.0,2.0,GEN,Tamil Nadu,Dr.Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,"14,96,224","9,02,489",60.3 %,"3,39,222",37.6%
Chennai South,,,,,,,,,,,,125.0,3.0,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,1162062.0,728118.0,62.7 %,32935.0,4.5%,125.0,3.0,GEN,Tamil Nadu,Dr. J. Jayavardhan,All India Anna Dravida Munnetra Kazhagam,1795780.0,1081163.0,60.2 %,136625.0,12.6%,125.0,3.0,GEN,Tamil Nadu,T.Sumathy (A) THAMIZHACHI THANGAPANDIAN,Dravida Munetra Kazhagam,"19,16,378","11,25,857",59.6 %,"2,62,223",23.3%,124.0,3.0,GEN,Tamil Nadu,T.Sumathy (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,"20,23,133","10,99,321",54.3 %,"2,25,945",20.6%
Chhindwara,126.0,16.0,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,"11,45,107","7,52,439",65.7 %,"63,708",8.5%,126.0,16.0,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,1154249.0,829304.0,71.9 %,121220.0,14.6%,126.0,16.0,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,1401277.0,1107498.0,79.0 %,116537.0,10.5%,126.0,16.0,GEN,Madhya Pradesh [2000 Onwards],Nakul Kamal Nath,Indian National Congress,"14,80,503","12,48,031",85.7 %,"37,536",3.0%,125.0,16.0,GEN,Madhya Pradesh [2000 Onwards],Bunty Vivek Sahu,Bharatiya Janta Party,"16,32,190","13,04,827",79.9 %,"1,13,618",8.7%
Chhota Udaipur,127.0,21.0,ST,Gujarat,Naranbhai  Rathwa,Indian National Congress,"10,65,416","5,56,493",52.2 %,"36,239",6.5%,127.0,21.0,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,1412306.0,765220.0,54.2 %,26998.0,3.5%,127.0,21.0,ST,Gujarat,Ramsinh Rathwa,Bharatiya Janta Party,1536305.0,1100542.0,71.6 %,179729.0,16.3%,127.0,21.0,ST,Gujarat,Rathva Gitaben Vajesingbhai,Bharatiya Janta Party,"14,33,397","12,32,459",88.3 %,"3,77,943",30.7%,126.0,21.0,ST,Gujarat,Jashubhai Bhilubhai Rathva,Bharatiya Janta Party,"18,21,708","12,67,719",69.6 %,"3,98,777",31.5%
Chidambaram,128.0,12.0,GEN,Tamil Nadu,"Ponnuswamy, E.",Pattali Makkal Katchi,"11,25,487","7,41,925",65.9 %,"87,651",11.8%,128.0,27.0,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1126828.0,869428.0,77.2 %,99083.0,11.4%,128.0,27.0,SC,Tamil Nadu,Chandrakasi M,All India Anna Dravida Munnetra Kazhagam,1366189.0,1088423.0,79.7 %,128495.0,11.8%,128.0,27.0,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,"14,59,769","11,53,192",80.1 %,"3,219",0.3%,127.0,27.0,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,"15,19,847","11,67,071",76.8 %,"1,03,554",8.9%
Chikkodi,130.0,26.0,GEN,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,"11,84,275","8,36,452",70.6 %,"43,492",5.2%,130.0,1.0,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,1284427.0,868001.0,67.6 %,55287.0,6.4%,130.0,1.0,GEN,Karnataka,Prakash Babanna Hukkeri,Indian National Congress,1442296.0,1071103.0,74.3 %,3003.0,0.3%,130.0,1.0,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,"15,74,203","12,17,549",78.0 %,"1,18,877",9.8%,129.0,1.0,GEN,Karnataka,Priyanka Satish Jarkiholi,Indian National Congress,"17,61,694","13,93,093",79.1 %,"90,834",6.5%
Chikmagalur,131.0,20.0,GEN,Karnataka,D. C. Srikantappa,Bharatiya Janta Party,"11,21,327","8,17,048",72.9 %,"73,672",9.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimur,132.0,25.0,GEN,Maharashtra,Shivankar Mahadeorao Sukaji,Bharatiya Janta Party,"11,13,832","7,74,672",69.6 %,"98,774",12.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirayinkil,133.0,19.0,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),"10,20,604","6,68,280",65.5 %,"50,745",7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitradurga,134.0,7.0,GEN,Karnataka,N.Y. Hanumanthappa,Indian National Congress,"13,16,427","9,17,046",69.7 %,"37,460",4.1%,131.0,18.0,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,1534169.0,836390.0,54.5 %,135571.0,16.2%,131.0,18.0,SC,Karnataka,B.N.Chandrappa,Indian National Congress,1661272.0,1096499.0,66.0 %,101291.0,9.2%,131.0,18.0,SC,Karnataka,A Narayanaswamy,Bharatiya Janta Party,"17,36,643","12,45,950",72.0 %,"80,178",6.4%,130.0,18.0,SC,Karnataka,Govind Makthappa Karjol,Bharatiya Janta Party,"18,56,876","13,66,909",73.6 %,"48,121",3.5%
Chittoor,135.0,21.0,GEN,Andhra Pradesh,D.K. Audikesavulu,Telugu Desam,"11,70,325","8,74,425",74.7 %,"62,138",7.1%,132.0,42.0,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,1291921.0,1045061.0,80.9 %,10659.0,1.0%,132.0,42.0,SC,Andhra Pradesh [2014 Onwards],Naramalli Sivaprasad,Telugu Desam,1452141.0,1198915.0,82.6 %,44138.0,3.7%,132.0,25.0,,Andhra Pradesh [2014 Onwards],N. Reddeppa,Yuvajana Sramika Rythu Congress Party,"14,30,405","13,19,472",93.7 %,"1,37,271",10.4%,131.0,25.0,SC,Andhra Pradesh [2014 Onwards],Daggumalla Prasada Rao,Telugu Desam,"16,40,202","14,18,857",86.5 %,"2,20,479",15.5%
Chittorgarh,136.0,19.0,ST,Rajasthan,Shrichand Kriplani,Bharatiya Janta Party,"13,85,950","6,70,995",48.4 %,"1,35,770",20.2%,133.0,21.0,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,1601444.0,795308.0,49.7 %,72778.0,9.2%,133.0,21.0,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1818147.0,1172629.0,64.5 %,316857.0,27.0%,133.0,21.0,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,"19,82,095","14,58,760",74.5 %,"5,76,247",39.5%,132.0,21.0,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,"21,70,167","14,98,733",69.1 %,"3,89,877",26.0%
Churu,137.0,3.0,GEN,Rajasthan,Ramsingh Kaswan,Bharatiya Janta Party,"13,71,821","8,32,555",60.7 %,"29,854",3.6%,134.0,3.0,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,1532266.0,802665.0,52.4 %,12440.0,1.5%,134.0,3.0,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1753825.0,1131104.0,64.5 %,294739.0,26.1%,134.0,3.0,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,"19,62,475","13,28,422",68.2 %,"3,34,402",25.2%,133.0,3.0,GEN,Rajasthan,Rahul Kaswan,Indian National Congress,"22,13,187","14,24,645",64.4 %,"72,737",5.1%
Coimbatore,138.0,20.0,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,"15,84,223","8,77,688",55.4 %,"1,64,505",18.7%,135.0,20.0,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (MARXIST),1163781.0,825118.0,70.9 %,38664.0,4.7%,135.0,20.0,GEN,Tamil Nadu,Nagarajan P.,All India Anna Dravida Munnetra Kazhagam,1720211.0,1176620.0,68.4 %,42016.0,3.6%,135.0,20.0,GEN,Tamil Nadu,Natarajan. P.R,Communist Party Of India (Marxist),"19,09,712","12,50,885",66.7 %,"1,79,143",14.3%,134.0,20.0,GEN,Tamil Nadu,Ganapathy Rajkumar P,Dravida Munnetra Kazhagam,"21,06,124","13,72,833",65.2 %,"1,18,068",8.6%
Contai,139.0,31.0,GEN,West Bengal,Prasanta Pradhan,Communist Party Of India (MARXIST),"10,81,102","9,21,634",85.3 %,"59,190",6.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooch Behar,140.0,1.0,SC,West Bengal,Hiten Barman,All India Forward Bloc,"11,48,934","9,47,381",82.5 %,"2,26,569",23.9%,136.0,1.0,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,1329086.0,1122253.0,84.4 %,33749.0,3.0%,136.0,1.0,SC,West Bengal,Renuka Sinha,All India Trinamool Congress,1613417.0,1332409.0,82.6 %,87107.0,6.5%,136.0,1.0,SC,West Bengal,Nisith Pramanik,Bharatiya Janta Party,"16,87,773","15,24,683",91.2 %,"54,231",3.6%,135.0,1.0,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,"19,66,893","16,23,048",82.5 %,"39,250",2.4%
Cuddalore,141.0,11.0,GEN,Tamil Nadu,Venkatapathy. K,Dravida Munetra Kazhagam,"12,06,876","7,58,178",62.8 %,"1,31,352",17.3%,137.0,26.0,GEN,Tamil Nadu,Alagiri S,Indian National Congress,986030.0,750000.0,76.1 %,23532.0,3.1%,137.0,26.0,GEN,Tamil Nadu,Arunmozhithevan.A,All India Anna Dravida Munnetra Kazhagam,1247908.0,984538.0,78.9 %,203125.0,20.6%,137.0,26.0,GEN,Tamil Nadu,T. R. V .S. Ramesh,Dravida Munetra Kazhagam,"13,42,320","10,43,202",78.4 %,"1,43,983",13.8%,136.0,26.0,GEN,Tamil Nadu,M.K. Vishnuprasad,Indian National Congress,"14,12,746","10,31,563",73.0 %,"1,85,896",18.0%
Cuddapah,142.0,23.0,GEN,Andhra Pradesh,Y.S. Vivekananda Reddy,Indian National Congress,"11,43,505","8,14,047",71.2 %,"1,31,674",16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuttack,143.0,6.0,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,36,228","8,20,082",66.3 %,"1,73,198",21.1%,138.0,14.0,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1283576.0,813330.0,63.4 %,236292.0,29.1%,138.0,14.0,GEN,Orissa,Bhartruhari Mahatab,Biju Janata Dal,1371617.0,978604.0,71.4 %,306762.0,31.3%,138.0,14.0,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"14,60,895","10,59,490",73.0 %,"1,21,201",11.4%,137.0,14.0,GEN,Orissa,Bhartruhari Mahtab,Bharatiya Janta Party,"15,71,622","11,20,795",71.3 %,"57,077",5.1%
Dahanu,145.0,11.0,GEN,Maharashtra,Shingada Damodar Barku,Indian National Congress,"16,05,119","6,83,263",42.6 %,"63,363",9.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
